BillboardTitle,BillboardArtist,OriginChart,peakpos_alltime,weeksonchart_alltime,MyPart_id,Song Form,Pre-Chorus Section Lyrics,Tempo,Song Length,Vocal vs. Instrumental Prevalence,First Section Type,Intro Length,"Intro (Instrumental, Vocal)",Verse Count,Pre-Chorus Count,Chorus Count,Vocal Post-Chorus Count,Departure Section,Last Section Type,Outro Length,"Outro (Instrumental, Vocal)",Number of Distinct Sections,Melodic Interval Prevalence,Main Melodic Range (tones),Main Melodic Range,Number of Melodic Themes,Key,"Key (Major, Minor, Major Mode, Minor Mode)",Use of Parallel Mode,%Diatonic Chords,Chord Repetition,Use of Triads,Use of Inverted Chords,Use of 7th Chords,Use of Major 7th Chords,Chord Degree Prevalence,Timbre,Predominantly Acoustic vs Electronic,Prominent Instruments,Song Title Word Count,Song Title Appearances,Person References,Location References,Organization or Brand References,Consumer Goods References,Creative Works Title References,Literal Experiences vs. Abstract,Lyrical Sub Themes defining Lyrical Themes,Lyrical Moods,Use of In-Line Lyric Repetition,Line Repetition,Overall Repetitiveness,Average Word Repetition (Full Song),Common Words Prevalence 1k,Common Words Prevalence 10k,Common Words Prevalence 50k,%Slang Words,%Abbreviations,%Non Dictionary Words,%Profanity Words,Average Consonance Alliteration,Average Assonance Alliteration,Rhyme Density,Percentage of Rhyming Syllables,Average Rhymes per Line,Number Of Rhyme Groups In The Song By ELR,End-of-Line Perfect Rhyme Percentage,End-of-Line Secondary Perfect Rhyme Percentage,End-of-Line Assonance Rhyme Percentage,End-of-Line Consonance Rhyme Percentage,Perfect Rhyme Percentage,Secondary Perfect Rhyme Percentage,Assonance Rhyme Percentage,Consonance Rhyme Percentage,End-of-Line Rhyme Percentage,Mid-Line Rhyme Percentage,Internal Rhyme Percentage,Mid-Word Rhyme Percentage,Lyrical Density,Average Number of Words per Line,Primary Genre,Sub-Genres,Influences,Production Mood,Danceability,Loudness Range
Closer,The Chainsmokers Featuring Halsey,hot-100,1,52,[TheChainsmokersFeaturingHalsey].Closer,A-PC-B,Lyrically Identical,94.90502167,4:04,Instruments Prevalence,Intro,0:13,Instrumental,2,2,3,0,1,Outro,0:13,Vocal,8,"%P1-%m2, %M2-%m3, %M3-%P5",11.5,Mixed-Vertical,1,Ab Major,Major,1,0.897727273,9.777777778,0.511363636,0.090909091,0.232954545,0.045454545,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, String Section, Piano",1,3,0.035294118,0.023529412,0.011764706,0.023529412,0.011764706,Abstract,"Breakup, Success, Holiday or Festivity, Yearning for Social company, Friendship",Detached,0,0.5,0.312391931,3.545454545,0.451086957,0.798913043,0.918478261,0,0.042735043,0.002849003,0,0.78638438,0.630486111,0.378923767,0.15470852,1.232142857,0.147540984,0.340909091,0,0.136363636,0,0.406779661,0,0.152542373,0.050847458,0.745762712,0.327868852,0.06557377,0.224719101,1.421282799,5.318181818,Pop,"Dance/Club/Electronic, Pop",Teen Pop,"Party, Relaxed",0.81471324,7.74545145
Cold Water,Major Lazer Featuring Justin Bieber & MO,hot-100,2,27,[MajorLazerJustinBieberAndMo].ColdWater,A-PC-B,Lyrically Identical,92.94402313,3:05,Vocals Prevalence,Intro,0:00,No Intro,2,2,4,0,1,Chorus,0:00,No Outro,3,"%P1-%m2, %M2-%m3, %M3-%P5",11,Mixed-Vertical,1,F# Aeolian,Aeolian,0,0.962406015,7,0.398496241,0.015037594,0.458646617,0.127819549,"%I, %III, %IV, %V, %VI",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, String Section, Guitar",2,2,0.007142857,0.014285714,0,0,0,Both,,Other,0.055555556,0.285714286,0.381569474,3.097826087,0.659259259,0.77037037,0.911111111,0,0.021052632,0,0,0.806663059,1.05164777,0.369047619,0.208333333,1.666666667,0.095238095,0.25,0,0.321428571,0,0.368421053,0,0.342105263,0,0.736842105,0.365079365,0.063492063,0.166666667,1.541007008,5.529411765,Dance/Club/Electronic,"Dance/Club/Electronic, Pop","DJ Pop, Alternative Pop",Relaxed,0.91540432,6.732589245
Come & Go,Juice WRLD x Marshmello,hot-100,2,20,[JuiceWrldXMarshmello].ComeAndGo,A-PC-B,,144.8653412,,Vocals Prevalence,Intro,0:19,No Intro,2,2,2,,0,Chorus,0:19,No Outro,3,,,,,G Blues,Blues,0,0.807692308,5.2,0.361538462,0.053846154,0.292307692,0.1,"%I, %III, %IV",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",3,12,,,,,,,"Success, Introspection, Religion or Spirituality, Friendship, Drugs or Alcohol Use or Alcohol Use","Cynical, Optimistic, Nostalgic, Positive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dance/Club/Electronic,"Dance/Club/Electronic, Pop",DJ Pop,"Party, Relaxed, Melancholic",0.999914885,8.932828903
Congratulations,Post Malone Featuring Quavo,hot-100,8,50,[PostMaloneFeaturingQuavo].Congratulations,ABABC,No Pre-Chorus,61.38084795,3:40,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,1,Outro,0:00,Vocal,5,"%P1-%m2, %M2-%m3, %M3-%P5",11,Mixed-Vertical,3,F# Major,Major,1,0.895238095,5.526315789,0.323809524,0.085714286,0.476190476,0.428571429,"%I, %IV, %V",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,4,0.053846154,0.007692308,0.023076923,0.009615385,0,Both,"Romantic, Success, Boasting, Holiday or Festivity, Lifestyle","Dramatic, Cynical, Reluctance",0.136363636,0.267676768,0.382887701,3.183431953,0.659016393,0.875409836,0.954098361,0,0.018587361,0.102230483,0.014869888,0.952630464,0.731070762,0.333333333,0.215889465,1.893939394,0.130434783,0,0,0.25862069,0.086206897,0.101123596,0,0.303370787,0.123595506,0.651685393,0.443478261,0.043478261,0.166666667,2.371381219,6.191780822,Hip Hop/Rap,Hip Hop/Rap,Trap,"Party, Relaxed",0.923708856,9.093011856
Conversations,Juice WRLD,hot-100,7,6,[JuiceWrld].Conversations,ABABC,No Pre-Chorus,80.04018402,3:01,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,0,Outro,0:00,No Outro,2,"%P1-%m2, %M2-%m3, %M3-%P5",8.75,Mixed-Horizontal,2,Eb Minor,Minor,0,0.6875,5.538461538,0.4375,0.263888889,0.097222222,0.055555556,"%IV, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,3,0.040462428,0.014450867,0.014450867,0.01734104,0.002890173,Both,Lifestyle,"Cynical, Optimistic, Happy, Reluctance, Anger, Sad, Positive, Bitter",0.076388889,0.361111111,0.408690869,2.298013245,0.467336683,0.773869347,0.91959799,0.002881844,0.063400576,0.023054755,0.002881844,0.933749719,0.753507295,0.334016393,0.165983607,1.6875,0.139240506,0.533333333,0,0.266666667,0,0.566666667,0,0.233333333,0,0.5,0.367088608,0.101265823,0.4,1.908942875,6.351851852,Hip Hop/Rap,Hip Hop/Rap,Trap,"Happy, Relaxed",0.946013451,6.462582588
Dakiti,Bad Bunny & Jhay Cortez,hot-100,5,28,[BadBunnyAndJhayCortez].Dakiti,AABA,No Pre-Chorus,109.7201691,3:13,Vocals Prevalence,Verse,0:00,No Intro,2,0,0,0,0,Chorus,0:00,No Outro,1,"%P1-%m2, %M2-%m3, %M3-%P5",11.5,Mixed-Vertical,3,E Minor,Minor,0,0.76744186,4.161290314,0.457364341,0.085271318,0.364341085,0.11627907,"%I, %IV, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",1,0,,,,,,,"Empowering, Holiday or Festivity, Yearning for Social company, Family",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin,Latin,,Relaxed,0.853984892,6.745366097
Dance Monkey,Tones And I,hot-100,4,36,[TonesAndI].DanceMonkey,A-PC-B,Lyrically Identical,97.87253571,3:29,Both,Intro,0:00,No Intro,2,2,3,0,1,Chorus,0:00,No Outro,5,"%P1-%m2, %M2-%m3",6.75,Horizontal,1,F# Aeolian,Aeolian,0,0.925531915,5.875,0.829787234,0.031914894,0.117021277,0.063829787,"%I, %V, %VI, %VII",Primarily Dark,Primarily Acoustic,"Bass Prevalence, Drums/Perc Prevalence, Piano",2,0,0.011990408,0.002398082,0,0,0.004796163,Abstract,Hedonism,"Dramatic, Happy",0.091503268,0.418300654,0.242349457,5.868421053,0.556149733,0.855614973,0.92513369,0.004484305,0.004484305,0.156950673,0,1.0203781,0.866378413,0.420849421,0.239382239,2.431372549,0.072580645,0.076923077,0,0.615384615,0,0.36,0,0.4,0.04,0.52,0.169354839,0.008064516,0.120567376,1.885734206,7.559322034,Pop,Pop,Classic Country,"Happy, Relaxed",0.316640139,5.776851654
Dancing With A Stranger,Sam Smith & Normani,hot-100,7,45,[SamSmithAndNormani].DancingWithAStranger,ABAB,No Pre-Chorus,102.8595428,2:49,Vocals Prevalence,Intro,0:30,Vocal,2,0,3,0,1,Outro,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",11.5,Mixed-Vertical,4,F Aeolian,Aeolian,0,0.902439024,4.315789474,0.341463415,0.073170732,0.390243902,0.182926829,"%I, %III, %IV, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",4,12,0.115523466,0,0.003610108,0,0.007220217,Abstract,"Egocentric, Sex, Hedonism, Holiday or Festivity, Introspection, Friendship","Cynical, Reluctance",0.090909091,0.242424242,0.281124498,4.694915254,0.564417178,0.834355828,0.969325153,0,0.02166065,0.039711191,0,1.455942553,0.822091837,0.709090909,0.233333333,2.333333333,0.093333333,0.083333333,0,0.083333333,0,0.488888889,0,0.288888889,0,0.266666667,0.613333333,0.08,0.072289157,1.414940133,6.153846154,Pop,"Pop, Rock",R&B Pop,Relaxed,0.733281434,7.216652393
Dangerous Woman,Ariana Grande,hot-100,8,21,[ArianaGrande].DangerousWoman,Other,No Pre-Chorus,133.9871521,3:55,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,0:00,Vocal,6,"%P1-%m2, %M2-%m3, %M3-%P5",5.5,Horizontal,3,E Aeolian,Aeolian,0,0.928571429,5.6,0.511904762,0.083333333,0.19047619,0.05952381,"%I, %III, %IV, %VI",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar, Piano",2,3,0.095115681,0,0.015424165,0,0,Abstract,"Breakup, Empowering, Success","Reluctance, Positive, Bitter",0,0.34591195,0.279079676,3.910891089,0.446494465,0.701107011,0.955719557,0.005063291,0.255696203,0.037974684,0,0.84917404,0.537724868,0.568720379,0.203791469,1.622641509,0.186666667,0.088235294,0,0.147058824,0,0.177777778,0,0.2,0.155555556,0.755555556,0.373333333,0.066666667,0.322834646,1.675830703,5.433333333,Pop,Pop,"Teen Pop, R&B Pop",Happy,0.989150584,7.469453812
Deja Vu,J. Cole,hot-100,7,20,[JCole].DejaVu,A-PC-B,Lyrically Identical,57.2431755,4:24,Vocals Prevalence,Intro,0:00,No Intro,2,2,2,0,1,Outro,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",7.5,Horizontal,3,G# Phrygian,Phrygian,0,0.677777778,4.090909091,0.144444444,0.066666667,0.722222222,0.422222222,"%I, %II, %IV",Primarily Dark,Primarily Acoustic,"Bass Prevalence, Drums/Perc Prevalence",2,0,0.028915663,0.028915663,0.003614458,0,0.002409639,Abstract,"Success, Materialized Dream, Protest, Boasting, Lifestyle, Religion or Spirituality","Cynical, Nostalgic, Reluctance, Anger",0,0.353909465,0.321678322,3.267716535,0.530660377,0.882075472,0.981132075,0.003614458,0.025301205,0.022891566,0.043373494,2.173384566,1.672459923,0.635458167,0.179282869,2.222222222,0.252173913,0.032258065,0,0.048387097,0.016129032,0.154639175,0.051546392,0.268041237,0.041237113,0.639175258,0.747826087,0.243478261,0.203539823,4.073899556,9.188888889,Hip Hop/Rap,Hip Hop/Rap,Alternative Hip Hop,"Happy, Relaxed",0.659543157,10.71099949
Deja Vu,Olivia Rodrigo,hot-100,3,15,[OliviaRodrigo].DejaVu,A-PC-B,Lyrically Identical,178.2054138,3:35,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,0,0,Chorus,0:00,No Outro,3,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",14.5,Vertical,7,D Major,Major,1,0.927272727,5,0.581818182,0.018181818,0.345454545,0.236363636,"%I, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,9,0.048701299,0.006493506,0.006493506,0.019480519,0.012987013,Literal,"Infatuation, Romantic, Hedonism, Protest, Boasting, Yearning for Social company, Friendship","Dramatic, Cynical, Happy, Reluctance",0.008130081,0.05982906,0.488224061,2.380597015,0.44295302,0.684563758,0.932885906,0,0.031347962,0.12539185,0.003134796,0.723599623,0.616318943,0.290666667,0.144,1.384615385,0.235294118,0.136363636,0,0.136363636,0.045454545,0.422222222,0,0.222222222,0.022222222,0.488888889,0.411764706,0.196078431,0.289473684,1.37808882,6.191489362,Pop,Pop,Classic Country,Happy,0.269207358,11.22056961
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,hot-100,1,52,[LuisFonsiAndDaddyYankeeFeaturingJustinBieber].Despacito,AABA,No Pre-Chorus,88.74514008,3:48,Vocals Prevalence,Intro,0:00,No Intro,2,0,0,0,1,Outro,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",9.25,Mixed-Horizontal,6,D Major,Major,0,0.890756303,5.409090909,0.756302521,0.042016807,0.168067227,0.067226891,"%I, %IV, %V, %VI",Primarily Bright,Primarily Acoustic,"Bass Prevalence, Drums/Perc Prevalence",1,0,0.030769231,0.015384615,0.012820513,0,0.002564103,Literal,"Romantic, Introspection","Dramatic, Nostalgic, Happy, Reluctance, Anger, Positive, Bitter",0.039215686,0,0.522150324,2.096774194,0.537688442,0.859296482,0.984924623,0,0.002564103,0.012820513,0,0.690274951,0.369681713,0.18902439,0.101626016,0.980392157,0.782608696,0.375,0,0.375,0.125,0.233333333,0,0.566666667,0.066666667,0.266666667,0.630434783,0.152173913,0.358974359,1.554577633,6.338983051,Latin,"Latin, Pop, Hip Hop/Rap",Teen Pop,Other,0.935261726,10.47146416
Diplomatic Immunity,Drake,hot-100,7,3,[Drake].DiplomaticImmunity,AAA,No Pre-Chorus,76.0123062,4:15,Vocals Prevalence,Verse,0:00,No Intro,1,0,0,0,0,Outro,0:00,No Outro,2,"%P1-%m2, %M2-%m3",4.5,Horizontal,3,D Dorian,Dorian,0,0.62195122,2.484848485,0.280487805,0.243902439,0.573170732,0.085365854,"%I, %II",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,1,0.056426332,0.020376176,0.029780564,0.010971787,0.009404389,Literal,"Breakup, Empowering, Success, Protest, Boasting, Holiday or Festivity, Lifestyle, Religion or Spirituality, Friendship, Family","Dramatic, Cynical, Detached",0.00456621,0,0.546893318,1.772853186,0.401785714,0.788690476,0.943452381,0.0015625,0.053125,0.0265625,0.015625,4.095309878,1.987860107,0.304972376,0.166850829,2.097222222,0.23880597,0.230769231,0,0.442307692,0.038461538,0.271186441,0.008474576,0.449152542,0.042372881,0.440677966,0.582089552,0.119402985,0.388663968,2.500859671,8.567567568,Hip Hop/Rap,Hip Hop/Rap,Classic Hip Hop,"Happy, Party",0.994294763,3.857672691
DNA.,Kendrick Lamar,hot-100,4,20,[KendrickLamar].Dna,AAA,No Pre-Chorus,69.9853821,3:05,Vocals Prevalence,Chorus,0:07,Instrumental,1,0,0,0,1,Outro,0:07,Instrumental,4,"%P1-%m2, %M2-%m3",11.5,Mixed-Vertical,4,B Phrygian,Phrygian,0,0.411764706,2.372093023,0.294117647,0.078431373,0.578431373,0.147058824,"%I, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,19,0.044977511,0.017991004,0.014992504,0.011994003,0.004497751,Literal,"Breakup, Success, Introspection, Lifestyle, Religion or Spirituality, Friendship, Drugs or Alcohol Use or Alcohol Use, Family","Cynical, Positive, Detached",0.012195122,0,0.484848485,2.086687307,0.408719346,0.762942779,0.920980926,0.00148368,0.045994065,0.028189911,0.020771513,5.554618746,3.164299352,0.264921466,0.140314136,1.634146341,0.237704918,0.101694915,0.033898305,0.220338983,0.050847458,0.271028037,0.018691589,0.271028037,0.056074766,0.551401869,0.368852459,0.204918033,0.466135458,2.358029839,8.072289157,Hip Hop/Rap,Hip Hop/Rap,Trap,"Happy, Party",0.998577595,9.760335922
Don't Cry,Lil Wayne Featuring XXXTENTACION,hot-100,5,3,[LilWayneXxxtentacion].DontCry,ABAB,,55.9236603,4:09,Both,Intro,0:17,No Intro,2,0,2,,0,Outro,0:17,No Outro,1,,,,,Ab Minor,Minor,1,0.542253521,3.837837838,0.338028169,0.091549296,0.492957746,0.204225352,"%I, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano, Guitar",2,21,,,,,,,"Lifestyle, Religion or Spirituality","Dramatic, Cynical, Happy, Anger, Sad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hip Hop/Rap,"Pop, Hip Hop/Rap","Trap, Pop","Party, Relaxed",0.694844604,10.62400055
Don't Let Me Down,The Chainsmokers Featuring Daya,hot-100,3,52,[TheChainsmokersDaya].DontLetMeDown,A-PC-B,Lyrically Identical,161.7309113,3:28,Instruments Prevalence,Intro,0:00,No Intro,2,0,3,2,0,Outro,0:00,No Outro,2,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",8.75,Mixed-Horizontal,4,B Major,Major,0,0.914285714,7,0.60952381,0.00952381,0.247619048,0.123809524,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",4,26,0.011049724,0,0,0.005524862,0,Both,"Success, Introspection",Reluctance,0.08974359,0.307692308,0.237328563,5.734375,0.782945736,0.945736434,1,0,0.016348774,0.008174387,0,0.717653219,0.661518959,0.627249357,0.257069409,1.923076923,0.072916667,0.03125,0,0.125,0,0.027027027,0,0.162162162,0.081081081,0.864864865,0.354166667,0.041666667,0.047619048,1.684289753,6.016393443,Pop,"Dance/Club/Electronic, Pop",Alternative Pop,"Party, Relaxed",0.927605391,6.931481838
Don't Matter To Me,Drake Featuring Michael Jackson,hot-100,9,5,[DrakeFeaturingMichaelJackson].DontMatterToMe,A-PC-B,Lyrically Identical,103.0312805,4:05,Vocals Prevalence,Intro,0:00,No Intro,2,2,2,2,1,Outro,0:13,Vocal,6,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",12,Vertical,4,G Aeolian,Aeolian,0,0.847058824,5,0.317647059,0.129411765,0.411764706,0.294117647,"%I, %III, %IV, %VI",Mixed,Primarily Electronic,"Guitar, Bass Prevalence, Drums/Perc Prevalence, Piano",4,8,0.019417476,0,0,0.003236246,0,Both,"Infatuation, Love, Egocentric, Hedonism, Success, Introspection, Friendship, Drugs or Alcohol Use or Alcohol Use","Cynical, Happy, Anger",0.079365079,0.261904762,0.377910845,3.153061224,0.622807018,0.833333333,0.99122807,0,0.038834951,0.003236246,0,0.534106634,0.052583774,0.319444444,0.130555556,1.119047619,0.395348837,0.2,0,0.133333333,0,0.363636364,0,0.272727273,0,0.681818182,0.697674419,0.023255814,0.203389831,1.47378663,6,Hip Hop/Rap,"Dance/Club/Electronic, Hip Hop/Rap","Club Music, Trap","Party, Relaxed",0.999149978,2.317768097
Don't Mind,Kent Jones,hot-100,8,20,[KentJones].DontMind,A-PC-B,Lyrically Identical,105.8396378,3:18,Vocals Prevalence,Intro,0:00,No Intro,2,0,3,2,1,Outro,0:27,Vocal,4,"%P1-%m2, %M2-%m3",4.5,Horizontal,1,Ab Major,Major,0,0.689393939,4.258064516,0.25,0.151515152,0.590909091,0.113636364,"%I, %II, %V, %VI",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar, Piano",2,0,0.041666667,0.013888889,0.001736111,0.003472222,0.043402778,Abstract,"Love, Family",Other,0,0.279569892,0.248024734,4.840336134,0.546075085,0.781569966,0.883959044,0,0.026041667,0.098958333,0.005208333,1.630837353,1.824814383,0.263852243,0.170184697,2.080645161,0.130081301,0.461538462,0,0.076923077,0,0.555555556,0.055555556,0.092592593,0.018518519,0.240740741,0.617886179,0.162601626,0.453389831,2.917933131,8.098591549,Hip Hop/Rap,Hip Hop/Rap,Trap,"Aggressive, Party",0.55816561,2.338017464
Don't Start Now,Dua Lipa,hot-100,2,52,[DuaLipa].DontStartNow,A-PC-B,Lyrically Identical,123.9379349,3:03,Vocals Prevalence,Intro,0:00,Vocal,2,3,3,2,1,Outro,0:00,No Outro,6,"%P1-%m2, %M2-%m3",5.5,Horizontal,1,D Major,Major,0,0.821782178,4.80952381,0.415841584,0.01980198,0.346534653,0.079207921,"%I, %II, %IV, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",3,1,0.016447368,0,0,0,0,Literal,"Breakup, Egocentric, Empowering, Success, Protest, Friendship","Cynical, Optimistic, Happy, Anger, Sad, Bitter",0.129251701,0.25,0.322200393,4.066666667,0.719008264,0.876033058,0.933884298,0.006557377,0.036065574,0.006557377,0,0.424423845,0.169480519,0.269794721,0.152492669,1.083333333,0.183673469,0.375,0,0.28125,0,0.409090909,0,0.386363636,0,0.727272727,0.306122449,0.06122449,0.161290323,1.683668963,4.745762712,Pop,"Dance/Club/Electronic, Pop","Teen Pop, DJ Pop","Party, Relaxed",0.988247931,5.282396317
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,hot-100,6,27,[Maroon5KendrickLamar].DontWannaKnow,A-PC-B,Lyrically Differentiated,100.0202789,3:34,Vocals Prevalence,Intro,0:00,Vocal,4,2,3,0,,Outro,0:00,No Outro,,,,,,G Major,Major,,,,,,,,,Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",3,14,0.008695652,0.069565217,0,0,0,Abstract,"Infatuation, Love, Romantic, Egocentric, Empowering, Materialized Dream, Yearning for Social company, Friendship","Cynical, Nostalgic, Happy, Reluctance, Positive",0.403292181,0.275,0.257026627,5.13392857,0.787456446,0.867595819,0.909407666,0.003478261,0.029565217,0.057391304,0,0.698841162,1.016447564,0.704292528,0.406995231,3.2,0.064257028,0.486486486,0,0.162162162,0,0.619402985,0.007462687,0.26119403,0.007462687,0.276119403,0.473895582,0.036144578,0.123287671,1.517840212,6.10989011,Pop,"Pop, Hip Hop/Rap","R&B Pop, Alternative Pop",Happy,0.724729359,13.69313622
Drag Me Down,One Direction,hot-100,3,20,[OneDirection].DragMeDown,A-PC-B,Lyrically Identical,138.0660858,3:12,Vocals Prevalence,Verse,0:00,No Intro,2,2,2,2,0,Outro,0:16,Instrumental,5,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",13.5,Vertical,1,C Aeolian,Aeolian,0,0.739495798,5.666666667,0.411764706,0.033613445,0.428571429,0.159663866,"%I, %V, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",3,12,0.121212121,0.005509642,0,0.005509642,0,Abstract,"Infatuation, Love, Romantic, Egocentric, Sex","Optimistic, Reluctance, Sad, Positive",0.051282051,0.583333333,0.235458613,4.594936709,0.683229814,0.931677019,0.98757764,0,0,0.013774105,0,1.730316905,1.275939493,0.480769231,0.170673077,1.613636364,0.138461538,0.12,0,0.08,0,0.135135135,0,0.324324324,0,0.675675676,0.584615385,0.030769231,0.310679612,1.892754349,6.44,Pop,Pop,Classic Country,Party,0.845526993,7.811414719
Drip Too Hard,Lil Baby & Gunna,hot-100,4,35,[LilBabyAndGunna].DripTooHard,ABAB,No Pre-Chorus,56.2178955,2:25,Vocals Prevalence,Intro,0:16,Vocal,2,0,2,0,1,Outro,0:16,Instrumental,6,"%P1-%m2, %M2-%m3",3.5,Horizontal,1,A Major,Major,0,0.93220339,6.555555556,0.449152542,0.06779661,0.36440678,0.203389831,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",3,6,0.038610039,0.015444015,0.005791506,0.00965251,0.00965251,Both,"Boasting, Lifestyle, Drugs or Alcohol Use or Alcohol Use, Family","Dramatic, Cynical",0.005847953,0.421052632,0.337601863,3.035087719,0.538745387,0.730627306,0.937269373,0.001926782,0.08477842,0.007707129,0.02504817,1.480235528,0.706944444,0.28314239,0.188216039,2.01754386,0.099009901,0.268292683,0,0.512195122,0,0.277108434,0,0.56626506,0.012048193,0.493975904,0.465346535,0.227722772,0.166666667,3.367855474,8.290322581,Hip Hop/Rap,Hip Hop/Rap,Trap,Party,0.98489219,15.37114239
Drivers License,Olivia Rodrigo,hot-100,1,27,[OliviaRodrigo].DriversLicense,ABABC,No Pre-Chorus,143.7660828,4:02,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,0,Outro,0:00,No Outro,3,"%P1-%m2, %M2-%m3, %M3-%P5",16,Vertical,3,Bb Major,Major,0,0.960526316,4.222222222,0.592105263,0.039473684,0.236842105,0.171052632,"%I, %IV, %V, %VI",Mixed,Primarily Acoustic,"Bass Prevalence, Drums/Perc Prevalence, Piano",2,1,0.024725275,0.027472527,0.005494505,0.002747253,0.008241758,Both,"Infatuation, Romantic, Boasting, Yearning for Social company, Friendship","Dramatic, Cynical, Nostalgic, Happy, Reluctance, Anger, Sad",0,0.246376812,0.395015907,2.787878788,0.64893617,0.872340426,0.957446809,0.005434783,0.024456522,0.035326087,0.005434783,0.695209767,0.501473301,0.130165289,0.090909091,0.956521739,0.529411765,0.142857143,0,0.214285714,0.285714286,0.333333333,0,0.3,0.166666667,0.466666667,0.794117647,0.088235294,0.610619469,1.489685547,6.425925926,Pop,Pop,Teen Pop,Relaxed,0.148740649,12.48012638
Dynamite,BTS,hot-100,1,32,[Bts].Dynamite,A-PC-B,Lyrically Identical,113.9184341,3:19,Vocals Prevalence,Chorus,0:00,No Intro,2,2,5,0,0,Outro,0:00,No Outro,2,"%P1-%m2, %M2-%m3, %M3-%P5",17,Vertical,2,E Major,Major,0,0.794642857,6.222222222,0.357142857,0.089285714,0.571428571,0,"%I, %II, %VI",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar, Piano",1,14,0.061833689,0.017057569,0.010660981,0.008528785,0.012793177,Abstract,Holiday or Festivity,"Dramatic, Detached",0.077380952,0.375,0.283346184,4.166666667,0.442804428,0.653136531,0.874538745,0,0.030909091,0.230909091,0,1.338273713,1.223265542,1.344725111,0.512630015,6.160714286,0.045016077,0.047619048,0.095238095,0.19047619,0,0.444444444,0.095238095,0.111111111,0.126984127,0.333333333,0.29903537,0.106109325,0.176610979,2.462039822,8,Pop,"Dance/Club/Electronic, Pop","Teen Pop, DJ Pop","Aggressive, Happy, Party, Relaxed, Melancholic",0.999996126,6.03350687
Earned It (Fifty Shades Of Grey),The Weeknd,hot-100,3,43,[TheWeeknd].EarnedItFiftyShadesOfGrey,A-PC-B,,119.9372177,4:37,Vocals Prevalence,Intro,0:23,No Intro,2,2,3,,0,Outro,0:23,No Outro,3,,,,,D Aeolian,Aeolian,0,0.74137931,3.866666667,0.353448276,0.224137931,0.387931034,0.00862069,"%I, %IV",Primarily Dark,Primarily Acoustic,"Bass Prevalence, Drums/Perc Prevalence, Piano, Guitar",6,0,,,,,,,"Infatuation, Love, Romantic, Egocentric, Friendship","Optimistic, Happy, Reluctance, Sad, Positive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pop,"Dance/Club/Electronic, Pop, Rock","R&B, Classic Pop",Relaxed,0.271758288,11.98301315
